chaos_id,canonical_smiles,molecular_formula
130,BrCCCCOCCCCBr,C8H16Br2O
131,BrCCCCOc1ccccc1,C10H13BrO
132,BrCCCOc1ccccc1,C9H11BrO
133,BrCCCc1ccccc1,C9H11Br
134,BrCCOC1CCCCC1Br,C8H14Br2O
135,BrCCOCCBr,C4H8Br2O
136,BrCCOCCOC1CCCCC1Br,C10H18Br2O2
137,BrCCOCCOCCBr,C6H12Br2O2
138,BrCCOCCOCCOCCBr,C8H16Br2O3
139,BrCCOc1ccccc1,C8H9BrO
140,BrCCSCCBr,C4H8Br2S
141,BrCCSCCSCCBr,C6H12Br2S2
142,BrCCSCc1ccccc1,C9H11BrS
143,BrCCc1ccc2c(c1)CCCC2,C12H15Br
144,BrCCc1ccccc1,C8H9Br
145,BrCI,CH2BrI
146,BrC[C@H]1CO1,C3H5BrO
147,BrCc1c2ccccc2c(CBr)c2ccccc12,C16H12Br2
148,BrCc1cc(Br)cc(Br)c1,C7H5Br3
149,BrCc1ccc(-c2csnn2)s1,C7H5BrN2S2
150,BrCc1ccc(Br)c2ccccc12,C11H8Br2
151,BrCc1ccc(Br)cc1,C7H6Br2
152,BrCc1ccc(CBr)c2ccccc12,C12H10Br2
153,BrCc1ccc(I)cc1,C7H6BrI
154,BrCc1ccc2c(c1)CCCC2,C11H13Br
155,BrCc1ccc2cc(CBr)ccc2c1,C12H10Br2
156,BrCc1ccc2ccccc2c1,C11H9Br
157,BrCc1ccc2ccccc2c1Br,C11H8Br2
158,BrCc1cccc(CBr)c1,C8H8Br2
159,BrCc1cccc(I)c1,C7H6BrI
160,BrCc1cccc2c(CBr)cccc12,C12H10Br2
161,BrCc1ccccc1,C7H7Br
162,BrCc1ccccc1CBr,C8H8Br2
163,BrCc1sc(-c2csnn2)cc1Br,C7H4Br2N2S2
164,BrI,BrI
165,BrN(Br)CCN(Br)Br,C2H4Br4N2
166,BrP(Br)Br,Br3P
167,BrP1Oc2ccccc2O1,C6H4BrO2P
168,BrSSBr,Br2S2
169,Br[As](Br)Br,AsBr3
170,Br[Be]C1C=CC=C1,C5H5BeBr
171,Br[C@@H](c1ccccc1)[C@@H](Br)c1ccccc1,C14H12Br2
172,Br[C@@H]1C[C@H]2CC[C@@H]1C2,C7H11Br
173,Br[GeH2]Br,Br2GeH2
174,Br[GeH2]I,BrGeH2I
175,Br[GeH](Br)Br,Br3GeH
176,Br[GeH](Br)I,Br2GeHI
177,Br[In](Br)Br,Br3In
178,Br[Se]c1ccccc1,C6H5BrSe
179,Br[SiH2]Br,Br2H2Si
180,Br[SiH2]I,BrH2ISi
181,Br[SiH](Br)Br,Br3HSi
182,Br[SiH](Br)I,Br2HISi
183,Br[SiH](I)I,BrHI2Si
184,Brc1c2c(c(Br)c3c1CCC3)CCCC2,C13H14Br2
185,Brc1c2ccccc2c(Br)c2ccccc12,C14H8Br2
186,Brc1c2ccccc2cc2ccccc12,C14H9Br
187,Brc1cc(Br)c2ccc3cccc4ccc1c2c43,C16H8Br2
188,Brc1cc(Br)c2nn[nH]c2c1,C6H3Br2N3
