1,1,5.50167002,4.9687374
6,1,1.09926251,0.20244255
6,6,2.49174033,0.75827957
7,1,1.18019929,0.19459121
7,6,2.91019769,1.19919594
7,7,3.26594309,1.56001466
8,1,1.60341671,0.14777972
8,6,2.83076261,0.76483641
8,7,3.22126658,1.02400611
8,8,3.22832635,0.75857042
9,1,3.00908696,0.57468838
9,6,2.99751365,0.76790658
9,7,3.70135239,1.83973176
9,8,3.04821245,0.62903055
9,9,4.0157443,2.0955189
11,1,1.27239598,1.7955624
11,6,0.72742814,0.33826248
11,7,2.03351539,7.11947177
11,8,1.07417163,0.46593554
11,9,1.50126936,0.48884039
11,11,0.49603378,0.52981333
12,1,1.74026385,1.6464122
12,6,1.91332801,1.56070554
12,7,1.24194361,0.42400581
12,8,1.64306809,0.64270914
12,9,4.10107545,16.89931519
12,11,1.506773,8.675619
12,12,0.25961712,0.17210861
15,1,1.77701283,0.92231547
15,6,1.94273921,0.86185262
15,7,2.08046079,0.85814293
15,8,2.22358855,0.7722996
15,9,2.400498,0.68791787
15,11,1.50032,2.837095
15,12,1.3360145,1.19491696
15,13,1.980727,5.050816
15,14,3.313466,13.239121
15,15,1.3142339,0.53298471
16,1,1.99051064,0.8714794
16,6,2.04551959,0.81385984
16,7,2.38647451,1.24545127
16,8,2.00418133,0.57116134
16,9,2.02072554,0.53705603
16,11,1.24987406,0.96273055
16,12,1.65688125,1.64556653
16,13,1.976705,2.347384
16,14,1.885916,0.876658
16,15,1.72980793,0.92899705
16,16,1.82481904,0.959948
17,1,1.77202317,0.35128616
17,6,1.7700081,0.31362264
17,7,1.88009782,0.37268446
17,8,1.72179335,0.23922164
17,9,1.75531626,0.20571654
17,11,1.816429,1.357894
17,12,1.9293772,1.41507295
17,13,2.125939,2.153451
17,14,1.684978,0.513
17,15,1.52465837,0.40850293
17,16,1.63061304,0.4832391
17,17,1.68012133,0.38845132
19,1,0.92695277,0.9902741
19,6,1.51170545,1.50180357
19,7,1.52806612,1.85579457
19,8,1.52565876,1.09688509
19,9,2.89600597,6.96328886
19,11,0.884307,5.563027
19,12,0.88481,3.290502
19,13,1.976076,29.944708
19,14,1.67593,8.2792
19,15,1.443738,4.475384
19,16,2.34162192,28.74098661
19,17,1.56138261,1.76932814
19,18,2.302803,9.710508
19,19,1.1482168,4.60699839
20,1,1.69147617,4.09412903
20,5,1.70001,1.70001
20,6,1.05066825,0.32236564
20,7,1.11272184,0.36106406
20,8,1.00032461,0.16930809
20,9,3.8522457,10.98269271
20,11,3.107104,9.657509
20,12,2.2998,8.5998
20,14,1.218788,0.336233
20,15,1.024142,0.41084
20,16,0.54371148,0.20200309
20,17,0.81998389,0.16380876
20,18,1.034881,0.291072
20,19,1.1192,1.24032
20,20,1.14828793,29.47195357
26,1,0.79193667,0.05838526
26,6,3.99017141,5.33514976
26,7,4.02796928,5.63401184
26,8,3.2350112,1.61877513
26,9,3.27029865,1.57958147
26,15,1.42597278,0.59759172
26,16,2.398839,1.26086296
26,17,1.9666493,0.31495551
26,19,2.0,6.0
26,26,3.56505839,24.92536659
27,1,2.34165801,1.94845346
27,5,3.2,1.0
27,6,3.55962148,5.077844
27,7,3.10684864,2.57511613
27,8,3.12463554,2.40385387
27,9,3.44800954,3.5369829
27,15,1.15939687,0.05506725
27,16,2.1111827,1.15338065
27,17,1.95752618,0.34957665
27,27,3.438441,3.99349531
30,1,2.09471205,3.90267492
30,6,1.61726178,0.69422546
30,7,1.53345218,0.58920321
30,8,1.93125665,0.87718124
30,9,2.410021,1.225545
30,15,1.22048,0.58153
30,16,1.37971732,0.77139403
30,17,1.31543174,0.35258456
30,20,1.11918,1.24029
30,30,0.6369013,0.20744744
34,1,1.48506586,0.47959118
34,6,2.03352801,0.53659777
34,7,1.732689,0.22936373
34,8,1.97750067,0.30794027
34,9,1.91312772,0.20007031
34,15,1.14004774,0.26921054
34,16,1.39091004,0.46848253
34,17,1.36119988,0.23519901
34,27,2.52345,2.20241
34,30,1.08896205,0.5995928
34,34,1.06068552,0.15281377
35,1,2.19042544,0.95776729
35,6,2.2871918,1.00009158
35,7,3.97658112,27.73297436
35,8,2.87622656,1.81002542
35,9,2.75170253,0.99530599
35,11,1.622218,1.752937
35,12,1.76836414,2.24092055
35,15,1.73435576,0.86422011
35,16,2.24818777,1.8325048
35,17,1.47106975,0.20035006
35,19,1.58047134,4.7681061
35,20,1.04553736,0.53031339
35,26,3.1646353,4.41099184
35,27,0.42328296,0.03509636
35,30,1.47179767,0.85333446
35,34,2.60066785,5.81873823
35,35,2.24012626,1.64245682
53,1,2.03084264,1.56972456
53,5,2.667605,3.161385
53,6,1.83816299,0.85052273
53,7,1.88024651,0.71355484
53,8,1.89231884,0.49996437
53,9,2.0896105,0.49882184
53,11,1.40309,1.986112
53,12,2.045137,3.276914
53,15,1.66521677,2.28682057
53,16,1.73982165,0.8246129
53,17,1.76148881,0.49999855
53,19,1.09923911,2.79051582
53,20,0.82340461,0.77638091
53,26,1.48387437,0.31060459
53,27,1.06507565,0.15484143
53,30,1.21426495,1.2826286
53,35,1.43409914,0.49975667
53,53,1.24208422,0.49512749
